prompt,completion
"Yes, I posted a link to the history. I was asking/thinking where you stepped into the discussion and if you were editing as an IP and that would put a different slant on your 3rr warning to Bbb23?, have you been recently editing the article was the simple question?",neutral
..is indeed a sick and boring life. Where do I sign up to give you your celebratory sexin'?,neutral
"He's already been blocked, as far as I can tell.  Is there anything else that needs to be done, at this point?",neutral
And  what did I do wrong???????????????????????,impolite
Helped them do what? Leave Israel?,impolite
I suggest we start with the History section. What do you think?,polite
That was a nice pic you put up in the Civil War article. where did you find it?,polite
"Thanks for the quick response. Would you have any suggestions on editors who would be interested in this field, or who might have experience with FA reviews?",polite
I'm sorry but looking back on that edit I won't stand for that. Don't you think that actually removing the edit summary was a bit... well... let's say 'abusing sysop powers'?,impolite
"I'm the uploader of the hubble pictures.  What do I put for the author, description, and stuff?",neutral
"Stephan, what did you mean by ''""Is English your native language? You seem to fill in a lot of things not said with your assumptions.""'' on my talk?",impolite
"Ok! First things first, is there anything in particular you would like me to help you out with?",polite
Have you visited <url>???,impolite
Are you unable to pee with a half filled bladder???,neutral
"of <url> as those were just plain old copyedit (replacing begining of paragraph ""he""'s with the name and a template fix). I'm assuming you were on the cell phone again?",impolite
We need a visual of some kind. How's the state of your right-brain today?,neutral
"Re your vote on motion 1, I don't currently have a mafia, to the best of my knowledge&mdash;but maybe it's not a bad idea. Shall I post a sign-up sheet?",neutral
"Dana, before I give the examples of what sections or parts in the article that needs fixing, I need to know if <url> is still gonna work on the problems. Do you get me?",impolite
Misrepresenting a person's actions to portray them in a bad light is one of the more common (and transparent) forms of personal attack. Is that your defense for repeatedly violating <url>?,neutral
"I have noticed that your objection to someone who unilaterally stops a straw poll. What, then, do you think of somebody who unilaterally ''starts'' a straw poll?",impolite
The article <url> is vandalism. Could you please delete it?,neutral
I noticed your nice improvements to <url>. Are you thinking of merging/redirecting <url> to that article?,polite
Is <url> what you're referring to??  '''''One''''' autograph page that he deleted almost '''''five months''''' ago and you're now attacking him as if he deleted every single autograph book ever?,impolite
Your contributions show no edits to any RfC's.  Could you provide a link?,neutral
I guess there's a connection to <url> too. Do you think that's cu worthy?,neutral
"'''<url>'''Please also answer the questions at paragraph '''<url>''' above, as you are looking like a classic bully admin who abuses his powers and should be stripped of that role.  Is there any review process in wikipedia, for proposing that you be stripped of your admin powers for bullyism?",neutral
it is up on their website. Do you know how to put it on the south wales scorpions infobox thing on the wikipedia page?,neutral
"Maybe I'm on crack, but in your edit summaries you're saying ""MT"" and ""Not MT"". What is MT an abbreviation for?",neutral
"Thanks for the alert.  By the way, how's Granny doing?",polite
"I do not, nor have I ever used other accounts on Wikipedia. Didn't you ask me this before?",neutral
"Yes, this is a nice illustration. I'd love to have a look of the code; is it possible for you to mail it to me?",neutral
"I have voted in support of them restoring that picture of the Eye Gouge. I will also ask, why don't you vote in it?",neutral
"Since the ""discussion"" was not advertised at the affected pages, it did not involve the ""community"". Do you not see that?",impolite
"You still haven't answered my question: ''why did you delete the article so quickly'', without even bothering to read it? And why are you so willing to back Thunderbunny and not me?",impolite
"In addition, I wonder what Encyclopedist is up to now - he claims that he has gained adminship under another account while simutaneously vandalizing using other socks. Should we attempt to seek out his other accounts and have them blocked and/or desysopped?",neutral
"Yes, well, that will take someone time to sit down and write the essay/guideline. Is it best to start there, or write a draft in user space or a subpage of <url> first?",neutral
So you exchanged my suggestion with an ''expired'' nomination... Right?,neutral
"When JaGaBot updated the monthly challenge winners on <url>, it stripped the image. Could the bot be fixed to leave the image?",neutral
"I hardly ever agree with Jimintheatl, but that block was bordering on absurd. Fast on the button much?",impolite
I don't understand the reason for <url>. Would you please explain it to me?,neutral
"Hello, I am interested in helping out with <url> and <url>, but the pages are very very long, which is unmanageable and discouraging. Could you please break them up into (many) smaller subpages?",neutral
"FYI, I found a unit representative, I think, see <url>. I directed him to your draft for the military reps, would you mind supporting him if you need, I am kindof wrapped up in several different things off wiki and on?",polite
"I've wikified this and added some categories. Any idea of his dates, and is he still alive?",neutral
"Do you also consider this ""alternative view"" http://en.wikipedia.org/wiki/Holocaust#Holocaust_denial ? How about this  http://en.wikipedia.org/wiki/Denial_of_the_Armenian_Genocide ?",neutral
"My guess is he memorized all the WP shortcuts a while back and has either forgotten them or they've moved.. strangely, this is teh 3rd or 4th time he's linked to the wrong WP policy, but still somehow gave the correct summary of the the point he was trying to get across. silly, or strange?",impolite
Thankyou.  So it's the norm to not show the day of the week in the lead-in?,impolite
You said in Terrorism:Talk that a user can be blocked from a particular article.  How could you block all the sockpuppets of that user ?,neutral
"Excuse me, but <url> seems to have slept through its normal editing period last night. Is it still working?",neutral
I have added some reliable sources for the article. Can I remove the proposed deletion tag?,neutral
"David - On looking through the list of the various Israel Prize categories the Israel Prize Categories page, I note that architecture appears twice, once as ""Category:Israel Prize in architecture recipients"" and again as ""Category:Israel Prize recipients in architecture"". Are you aware of how to delete the second category?",neutral
"Unfortunetally, I have no experiance with this kind of thing, nor have the program you discribed. Maybe we should find a user that can?",neutral
"The specific claim of Boyer's that you included and I deleted was that ""cauchy based infinitesimals on limits"".  Did you see anybody else saying this?",neutral
"Do you still take photos in Jefferson Parish? If so, would it be alright if I posted some photo requests of some parish high schools?",polite
I have an email from the owner of this image that your BOT deleted.  Can you please restore this and I can send in the email granting me permission to post?,polite
Was this wholesale revert really necessary? <url>  Did the edit completely fail to improve the article in any way?,neutral
"I wondered, simply because I see you occasionally and had never seen him before, so at first I thought he was you.  I wonder if there's a User:Nyttned running around?",neutral
Further: it seems to me that <url> was a perfectly reasonable dab page. I wonder why you needed to change it?,neutral
It should be deleted. Do you want to nominate it or should I?,neutral
"That was awfully quick, considering that it was open for less than 12 hours.  Since I must now do them individually, must they be considered ""Second Nominations"" if I put them up again?",neutral
"Alright, RFC time. Can we meet on IRC?",impolite
"Excellent, thank you! Can you also delete the <url> from en and move hooks from the <url> to <url>?",polite
"Hi, I noticed you blocked '''BPRD Agent''' with no expiry time with reason: ''Vandalism-only account; see contribs and deleted contribs''. Um, isn't the Deleted Contributions only restricted to administrators?",neutral
"You also did three reversions. Where are the administrators, meanwhile?",neutral
So what was the point of that? Are you looking to get blocked?,impolite
"Got terrible ratings at my RfA. Other than that, I'm just trying to get over 1000 edits this month... You?",neutral
The sources are ref'd in the article. Can you be more specific?,impolite
Great job. Will it be done by next week?,polite
I believe I may have addressed (at least a substantial portion of) your comments. Could you weigh in again?,neutral
What a mess. Does anything need to be done about it at the moment?,neutral
"Well, as you Matt57, my standards for OR a bit strict, as the recent discussion on the policy's talk page shows. Secondly, do you not find it interesting that Arrow only removes Muhammad (who is sourced), but does not remove Archimedes who is unsourced?",neutral
Its been over a week now and I see you still haven't passed or failed the article. Made a  decision?,neutral
"Finally, I checked with articles Plastid, Mitochondria and Mitochondrial genome, and see they all use the term 'genome', and that there is no suggestion that they have 'chromosomes'. So may we at least get rid of that usage on the Chromosome article?",impolite
"I'd be glad to help, if you like. How should we divide it, by section or by criteria?",neutral
"I am good at that ;-). You know about the new ""Oversight"" priv?",neutral
As a UM Bishop he is certainly notable. What was the source of the copyvio?,neutral
What user list? The one I linked to?,impolite
I see that you don't have an account linked to the Wikipedia email. Would you be able to send me a message so that we can talk off Wikipedia?,impolite
"Hello, '''Burzmali.''' I don't largely object to this edit...<url>...that you made to the <url> article, but would you mind explaining why you see that addition as non-notable?",neutral
"One thing I noticed though is that the letter rows (""0-9"", ""A"", etc) look a bit strange when the table is sorted using a non-alphabetic criteria. Do you think we need them at all?",impolite
"Likewise there is some discussion at <url>, where <url> is categorising itself and its documenttation. Could you please fix that as well?",impolite
"He keeps coming back, and keeps getting blocked again.... When will they learn?",neutral
I'm not sure which template loop you're talking about. I've flattened out the sub-templates at <person>: what is it that isn't working?,neutral
Awesome! What was I doing wrong in the Italian films?,polite
Congratulations on your new daughter's arrival!  What's her name?,neutral
"Among the measures you described, it sounds as if the next thing to try is option-command-start and rebuild the desktop. Does rebuilding the desktop mean I'd get a blank and have to restore all the icons?",neutral
"I know <url> is one, what about <url>? Shouldn't it also be a primary topic or are there actual rules which discourage practice of ""all caps""?",neutral
Thanks! Rhetorical question: is it really so difficult to read our username policy?,polite
"Um, you know that the last couple of replies have been from someone other than Esprqii? Right?",impolite
"Yes, I know what a score ''card'' is, but you wrote ""score '''car'''"" in the article. Was that a typo, or is there really such a thing as a score ""car""?",impolite
Thanks for your reply. I've tried to incorporate the references into the article; how is it now?,neutral
"He ''is'' offering the article to you, I think. Can you review the ''The Downward Spiral'' article <url>?",neutral
"Jenny and Silas info should surface within the week, Daily Mail will have some reception for him and her. ""India's murder"" and ""Fued with Lynsey Nolan"" maybe?",neutral
"I personally cannot see why it is justified, well not from a quick perusal of his edit history anyway. Can you explain please?",impolite
"Unfortunately for those who like railroads, it's been closed again! DOn't you people have better things to do?",impolite
I had a look at the place noted on the top of the talk page about 1rr and I was unable to find the sanction you talked about. Where is it listed please?,neutral
Thank you for the response on my user page.  Would you be willing to add a few words to the FAC candidacy?,neutral
"Option 3 is my preferred option as well. but the recommendation suggested we go with option 2 first pending consensus on 3. Even though the mediation cabal decision is non binding shouldn't we just follow through with 2 and take a poll on 3 at a later date, as per the recommendation?",neutral
I've noticed the Commons message boxes on <url> and find their colours quite interesting. What do you think?,neutral
"Are contributions listed from newest to oldest, or oldest to newest? Just curious?",neutral
"Well, I haven't seen a lot there, but the pages that I've seen were sourced. Does this mean you consider a sourced article in Wikipedia also unreliable?",neutral
"All is good here, hopefully the same with yourself.  How many English first-class cricketer you think we've got to get done in total?",neutral
How did I vandalize!!??,impolite
"As you may have seen, <url> was also blocked for the same time. In the light of his pledge to stay away from the article, can you give me an assurance that you will not be disruptive?",polite
"I've been ""busy"" (all day today in Death Valley admiring the spring bloom), and I would like to get at least partial buyin from HG if possible. Not a big hurry to rename, right?",polite
"<url>, whom you indefblocked almost a year ago, is requesting another chance and seems penitent. Have you any comments?",polite
"That looks better. I think I'm about done now, but old Theobald's still at FAC isn't he?",neutral
"Thanks, but I've already read those essays.  Did you have anything to say yourself, personally?",neutral
"Those of us who've been here the whole time are pretty incredulous about it also. :)  We miss your fine editing style and hope you come back sometime -- keep looking in on us now and then, at least?",polite
Hmm... I'm new here at Wikipedia and your explanation is a little cloudy...Should I delink the references website?,neutral
"You again speak of ""the probability of interest"", whereas I made it clear that either there is only one probability of interest, and hence it cannot depend on the door numbers, or there are several probabilities of interest, all with the same value, and hence independent of the numbers of the doors. Don't you understand this?",impolite
"I actually know nothing about karate, but you look to be doing a good job with your work, and I'm just here to say sorry really that some of your articles got deleted. Which artiles got deleted?",polite
"What do you mean ""log in repeadedly? I just keep clickin' what button?",impolite
Hi RHM22. Would you or one of your coin-loving compatriots have access to <url>?,impolite
"Also, 'topological proof'? Isn't 'proof' a bit strong?",impolite
Checkuser shows the three users share an ip from time to time. How serious is the problem?,impolite
Another admin has already deleted the article. Do you need me to restore it for you?,neutral
"I understand that this title refers to a particular arrangement of BWV 1068, but I get the sense that today it has taken the meaning of ''any'' arangement of the piece.  Could we note this in the article, or is this not true at all?",impolite
"Can you check if there was ever an article for ""Kenneth Eng""? It seems to have been deleted, if so could you supply me with an archive of the article?",neutral
You have been accused of sockpuppetry at <url>.  Scared?,impolite
I'll have a look (probably just for copyediting duties) once Zag has finished the larger changes. Keep me posted?,neutral
"Hi, Thank you for closing <url> as ""delete"", but much of the material immediately re-appeared at <url> (see <url>) so the questionable content hasn't been deleted at all. Can we do something about this?",polite
"No problem, done. What's your connection to Casey?",polite
"Where is the exception in <url> for ""tossing out citations and verifiable in order to make it easier for the reader""?  Who are you to disagree with Nikon's label of ""Compact Professional""?",impolite
Howdy Resolute. Is <url> for real?,neutral
"I've never seen something go beyond AN/I myself, and I find it hard to believe the other two hadn't been tried by now. Or is it a case-by-case thing?",impolite
"I have developed a <url> showing the holders of the senior positions in the shadow cabinet since 1945. I thought that it might be of some use somewhere on English wiki, but it doesn't seem to fit with the current schemes for the <url> page, or the <url> page. Any ideas on where the table might go?",polite
Transport not geeky if an area is unserviced. Are nights and w/ends?,polite
"Also, I was looking at the edit history for <url>, as I thought I had created the page (honestly I cannot remember), but the history prior to your move of the list to <url> is missing.  Do you know what happened to it?",neutral
The other possibility is that it's just fringe history. I'll take a look over the few resources relating to ''Texas'' that I have and see whether that is the case?,impolite
"Thanks. Before I use, is there are way to deny the bot only within a portion of an article rather than the entire article?",neutral
Dlaczego usunu0105u0142eu015b ze sku0142adu Kas(z?)aka?,neutral
Interrobang has asked me if I would also help mentor you when he is not around. I said that I would gladly help out if it was ok with you?,polite
"Thanks for offer of help on IRC - terminology completely baffling to me (not helped by freenode instructions written as if translated through several languages into final english) - just which channel are admins supposed to log into, and how does one register when it seems by invitation only. Finally what on earth is a cloak ?",neutral
I asked some questions in the Criteria for Inclusion section on 20th Dec but no-one has yet responded. Can you take a look?,neutral
Calling all changes for vandalism just because you don't agree with them is NOT the way to explain why you reverts edits. May I suggest that you actually learn what vandalism actually means before you use the word?,neutral
That should be good now. Except isn't it el-Senussi not El Senussi?,neutral
I am the third party; <url> was the first to dispute its use.  Why can't you describe the changes in words?,neutral
Are you saying you have never edited as anything else? What brought you to that particular article?,impolite
"Regarding <url>, <url>, <url>, <url>, <url> and <url>, may I redirect them? Should I leave the merge tag on the talk page?",neutral
<url> shows that Geo Swan has become active and <url> indicates that the problems mentioned at the RfC may be continuing. Would you close the RfC with the drafted summary?,neutral
Hey. Did you get my last e-mail?,neutral
"Your bot's edits aren't being marked as such; that is, they still appear in my watchlist when I choose to hide bot edits. Could you do something about this?",impolite
"Alf has a large <url> in Germany.  How on earth do you know that he is a character ""almost no one knows about"" Where you get your f'n info?",impolite
But I don't know anything about central europe. Have you tried the normal dispute resolution avenues?,neutral
"I've asked participants to shift the discussion away from Karchmar--that discussion isn't producing any new arguments or sources. Would you be able to contribute some thoughts as to where we might go on the topic of collaboration (i.e., tomorrow)?",neutral
Tell us more Mrg. Was he there?,neutral
"Hi, thanks for your help. There is also this sentence ""Asukkaista 84,5% oli ruotsinkielisixe4 ja 15,4% suomenkielisixe4 vuonna 1970 ja kunta oli kaksikielinen."" What does it mean, please?",polite
"I don't understand. So then you decide by yourself, and the people who stated their support for the original are ignored?",impolite
"Thanks for readjusting the <url> remarks on stationsby - I must confess I'm not that much into Danish history, so my edit contained some guesswork... thanks for correcting me. Do I understand correctly that a Stationsby would not be the station that originaly is intended for a town further away, around which then a new town grows up?",neutral
"Why can't we do like IMDB and have multiple ratings?  Is it that simple, or am I crazy?",impolite
"It's a possibility, but still leaves the problem that the terms are US Army jargon (at least, I don't recall hearing them anywhere else!). Maybe a transwiki to Wiktionary would be better?",neutral
"LOL, I love that movie. So, are you having Chinese food for New Year's Eve?",neutral
"Did you mean to also remove the Breitbart reference from the ""Incidents"" section?  Have I missed a meeting?",neutral
"And DAB uses a very foul language, persistently, is that right? Did I not talk to you about that already?",neutral
O RLY? And what does it do there?,neutral
You sure kill educating information. I wounder why?,polite
"There you go, it's GA now. Have you done anything else that's gotten to GA?",neutral
"So your argument is that as long as you follow the ""rules,"" nothing else should matter? That if it's legal it's OK?",impolite
"And what, may I ask, is ''your'' relationship to Hammersoft? How did you come upon this matter?",polite
Where are the actual findings of fact and sanctions in Haiduc's case? Do they need to be tweaked?,neutral
E-mail me at <url> (just get rid of the spaces in between the letters and numbers) whenever you feel like it. By the way are you a member on any Iranian football forums online?,neutral
"I did notice your initial post to my talk page, but five minutes later it was removed by <url>. Is this a shared IP address?",impolite
"I'm going to try and hurry the <url> article through both GA and FA to see if I can get it as the Featured Article on the Main Page in time for its 20-year anniversary on October 18, 2009. Care to help a little or a lot?",neutral
Really? Why?,impolite
"The article already says where they come from in the ''birth location'' field. What's the point of repeating it, especially at the expense of other info?",impolite
I took a stab at editing the page...but really think the page should just be deleted with a redirection from <url> to either <url> or <url>.  How do we make that happen?,neutral
"Ah well, if you are going to have such a bizarre flight of fancy as far as to calling it an attack page then perhaps I will remove it. Maybe you should also look at how you interact with others?",impolite
"Was it you who deleted the section in Victor Garber's article about his sexuality and his partner? If yes, what was the reason?",impolite
"(Constantine and Leo are English, not Latin names.) Why don't you answer my question about Constantine the Great?",neutral
"Referring to the Nomination for Deletion <url>, you suggest that Bill4Time be ""mentioned"" under List of Legal Software. Would that enable the Bill4Time Wikipedia page to still exist?",neutral
"One last thing, I noticed that Astro's gender is given as male. Is this erroneously placed?",neutral
"The challenge has been put aside (for some time), but not forgotten! Do we still want to do this?",impolite
Thanks very much for your edit to the <url> article. Would you be interested in tackling the <url> of <url>?,neutral
"This talk page looked like it could use a kitten. How are you doing, is everything going OK?",neutral
???You wat?,impolite
"I have already read this - thank you very much for this kind gesture, dear friend. What's up with you?",polite
"ER, I was wondering if <url> would be a good candidate for featured bio in the portal, since he was the first United States Marine Corps officer, in history to take command of a Naval flotilla. What do you think?",polite
Then maybe admins should focus on copyright infringements and avoid the leader/educator/cop/parliamentarian roles that they cherish so much.  Could 1000 admins handle this?,neutral
"Damn it! Should we just revert back to the beginning of the day, since what I wrote was based on analyzing the satellite data?",impolite
I heard he will be on <url>. Do you know what roll he will be on DSDS?,neutral
What State are you from? New Jersey?,neutral
"Hi, I see from your post at the reference desk, which I saw from your post at <url>, about times for locating wreckage (by the way, I posted a list of biggies I could find record of that have never been found) that you have read the above article. I have recently started converting some stuff ther that was still in present tense to past tense, in preparation for a push towards the article becomming our first air disaster FA (not counting ''<url>'', of course) and was wondering: as someone who knew nothing about the crash before, and has just read the article, do you think it's possible?",polite
But ''you're'' the one branding his work as anti-Semitic! See what I mean about bad faith?,neutral
"Apologies, I was busy prod'ding this article when you speedily deleted it, so I inadvertently re-created it.  Can you delete it again, please?",impolite
"Never mind, got it. Is the stereochemistry known?",neutral
"All my edits to clear Lloyd George disappeared from the running count. They haven't been undone, is this a bug?",impolite
"The <url> states that ''Endymion'' was an <person>, and the only one of five actually built. Does Conway mention this?",impolite
"I apologise, I didn't actually see the message on my talk page, I assumed you meant the article talk page. If you are concerned that the ""free"" image has been uploaded under a false license, then perhaps you could nominate it for deletion?",neutral
"Thanks for your recent edits on <url>, but what does ""inapplicable category"" (referring to <url>) in <url> mean? And why did you remove that category from <url>?",neutral
So why then does the lead stat in Christianity need a reference? Isn't it being contained in the article good enough?,impolite
Thanks for change to Hugh de Grandmesnil - I am (It is) very short of refs for that article. Could you suggest one for your addition?,neutral
"I noticed your warning on <url>, this guy has been vandalizing another old cartoon article as well, how can we put a stop to this? Is there a way to tag the IPs (there are 2) so a mod will stop them?",polite
"The reason given on the <nowiki><person></nowiki> tag (''""Non-notable book promo""'') seems to have nothing at all to do with the article. Is this on the correct article?",impolite
Sounds good to me. Shall we have a straw poll on it?,polite
P.S. do you think you should add this template to the Federated page?,neutral
The above username has been indefinitely banned as a phishing account. Now why would they want my login details...?,neutral
"Regrettably, I know little about <url>. Which dermatology-related articles have you seen me editing?",impolite
It's a low-profile page in the sense of not getting much attention from editors. Why do you think addressing Luther's views on grace is necessary to understand contemporary philosophy?,neutral
Just in case you didn't know - <url> has been blocked for being a <url> of <url> (also blocked). Shouldn't their nonsense be cleaned up?,impolite
"Should the ""accessdate"" for the articles you found (thanks for that!) be 200''7''?",polite
"Well, OTRS is multilingual, so she could contact OTRS in Turkish and people would be able to deal with the issue there. What was the exact wording of her ""release"" of the images?",impolite
"I noticed you made many edits to India-related articles, and I was just wondering if you were Indian? If you are, where do you live?",neutral
Could you be more specific.  Are there specific points in the article that you believe are repetitive?,polite
"On a different subject, does this article pass <url> and/or <url>? Could it be linked from <url> as the next album?",neutral
"Also, someone suggested merging it with another hoax page. Why wasn't that option considered?",polite
"Thanks for the username change. Now, one last thingu2014since the account 'Dalahxe4st' already exists on Swedish Wikipedia and doesn't appear to have been taken over automatically, where should I go to take care of that?",neutral
"yes, but we are hardly debating that edit that hasnt stood in the last few days anywway and certainly isnt an issue right now. What of that edit do you currently object to with such vehemence?",impolite
"Sorry, almost forgot. After calling me a ""child"" ""uneducated"" and making remarks to the effect of ""shouldn't be allowed to post on edit Wikipedia"" what grounds have you got to stand on to say I've made personal attacks against you by suggesting vandalism?",neutral
I see that you're already on the case! So is it to be Chesil or Cheesehill?,neutral
This why 399 is disabled as well? The times I looked it wasn't using very many conditions; what did you see?,neutral
There.  Better?,neutral
I saw many missing names in the huge table of geonames. (Names of places which have articles in Wikipedia) Since no editions are permitted how will the missing names be completed ?,neutral
"I am in the process of responding to your message on my talk page.  In the mean time, did Lochdale ever inadvertently expose his IP, such as editing while logged out and then logging in and signing?",neutral
Looks good! Did you check out <url>?,neutral
"Hi, you recently edited that the Independence Hall was once the tallest building in Philadelphia on the <url> article.  Do you have any source that supports this?",neutral
You're right that few users are as plugged-in to these developments as we are. Maybe I could provide a handful of links as examples?,polite
"Thank you so much! I hope it's allright if I move it to my front page, at least when the talk has to be archived?",neutral
About your last edit to <url>.  Do you have a source?,neutral
Why is your AWB robot changing '''&amp;Oslash;''' to the letter '''xd8'''? I asked you if all computers in the World are set up to read &Oslash; ?,neutral
Who is authorized to perform sockpuppet checks? Is there an automated service for doing it?,neutral
"On a related note, I went through your recent article-work, and saw nothing wrong with your contributions. I was wondering, would you like me to grant your account <url> to make it easier to revert vandalism when you come across it?",polite
"I am looking for help improving the dermatology content on wikipedia. Would you be willing to help, or do you have any friends interested in derm that would be interested in helping?",neutral
You recently attached a <nowiki><person></nowiki> tag to an article about an Azeri poet. May I ask why?,neutral
"I see your point, but my real issue was wanting to add the 'too much trivia' tag as all these 'minor aspects' need to be integrated into the relevant sections (I'll have a go myself if I get time). Isn't it possible to create a 'pop culture references' section and then siphon it off into a separate page when it gets too big?",impolite
Look even your 3rr message says to use the talk page. What authority does the Pokemon project have over Japanese mythology?,neutral
I added a clarifying sentence to my user page <url>.  Do you think it distills the essence?,neutral
"Hi, we worked on a few Australian-related articles together. May be you want to make a look on my <url>?",neutral
"That's a <url>-length rant. Still, be nice and AGF, okay?",neutral
It's not Bowdlerism to delete nonsensical trivia about which movies an actress appears nude in.  Should we indicate what color her hair is in those movies?,neutral
"OK, so while browsing my watchlist, I saw something peculiar in one of the pages that I'm watching; the user seems to be quite suspicious, based on his user page (similar to Wynchard Bloom's) which leads to the conclusion that he's Gerald. Can you like give him the stick?",impolite
"I see a ""remove protection"" tab on the <url>, which tells an admin that the article is protected.  Are you still able to edit it?",polite
So....what's up with this article? Is it a joke?,impolite
I think it's time we considered a perma-block on the IP in question. Comments?,polite
"Hi Steve, I've added refs & cites to this article. Do you think it still needs a warning about lack of refs/citations?",polite
"Well, I fully agree with the three rationales Lumos has given above; and so evidently do about half the Wikipedians who have contributed to the RfC Lumos has cited.  If so many think that such links can be useful and appreciated, why does it matter so much to you that they should be eradicated?",neutral
"This article was recently submitted for <url> but it appears to be missing a reference to ""James"". Could you fix that please?",neutral
Done. Can you take care of <url> and <url>?,neutral
I'm tempted to close this as a withdrawn GAN since it's been open nearly 2 months and nobody wants to touch it. What think?,impolite
"The CLI does not have page numbers for the main sections so you will have to look at 4.1.2.2.  As well, since the linguistic divisions of Iranian are not really disputed, can you give me a source that has these languages as Persian dialects?",neutral
"Yeah, I saw the French logo on the top of the page... I couldn't find any better versions of that logo, but the English one should suffice, right?",neutral
"Sorry, I can't see it. Would you mind cutting and pasting the sentence that says she won an award?",neutral
"What's wrong with having everything look the same, the links are for the Official website of the channel so I don't see the problem??",impolite
<person> is apparently caught up in that rangeblock. Can you help him out?,neutral
you have been following me around all week reverting my edits.  what did i do to you?,neutral
"I know, I looked it up and fixed the article, but it was annoying that you just changed one small thing making the page contradict itself. What's the use changing it if the reader will have no idea what's going on?",neutral
I am a fairly new admin.  When is it appropriate to use such a block as you did with a user I'd blocked?,neutral
This is incorrect. Have you looked at the article any time after October 2008?,impolite
"Okay, let's leave the naming thing posponed for now, why are you reverting the <url>-catagory thing? just because (as you say) Iraq was formed post-WWI that doesn't mean that they aren't the same people?",neutral
Thanks for clean-up of the secret talkpage colourer-inner. Aren't people odd?,neutral
"You realize the bot maintains a separate page, right? Is it not possible that the ""problem"" is having the pages inconsistent?",neutral
Made a bunch of changes to the <url> article. What do you think?,polite
"This seems to have become a standard put-down of yours<url>, but can you translate ''Go maith leith scxe9al'' <url> for me?  Or did you mean ''Gabh mo leithscxe9al''?",neutral
As far as I know MathSci has not edited any race related articles. If you think he is breaking his promise perhaps you should bring it up with him?,neutral
i noticed you changed <url> to <url>.  do you think the same should be done for <url>?,neutral
"Sorry, I see what happened now. In fact that's even stranger, how did I manage to make a multi-hour edit without getting hit during the vandal's attack?",neutral
"I often work out of Sweden and I have an excellent, free, built-in English or Swedish grammar ''and'' spelling program in ''Word'' on that computer using Firefox (as this user says she does) - red underlinings for spelling and green for grammar - which would preclude almost all of the huge amount of problems caused by this user regarding readability, or at least alert her to the very quanitity of the problems and inspire a constructive attitude as to her own capacity. Perhaps if one does not consider it a ""duty"" of sorts to contribute readable English here, that actually might be the problem?",impolite
"Ok, many thanks for that. I'm not sure how reliable that 2nd group are - it has <url> but what about all his dinner-guests?",neutral
"I downloaded VandalProof, but it says that I'm not on the user list.  How do I get on the user list?",neutral
"You said: ""I am just upset that you are harassing a person who seems to be trying to better himself and his relationship with fellow wikipedians.""  First, I'm harrassing no-one, and it would be better if you didn't make such accusations.  Secondly, what evidence do you see that SS is trying to do anything of the kind?",neutral
You see how time consuming and annoying it is when a person keeps on telling you to provide a source. Why do you want ''Michael'' to be just another compilation album?,polite
"I see you've done a lot of work on hospital-related articles, especially in Oregon. Perhaps you'd like to join us in improving the articles for hospitals in Oregon?",polite
The race was advertised and billed as the 100th Indy 500. Are you saying the promoters and Indycar are liars?,impolite
"Yeah, I agree. What's up with that?",impolite
"BTW, I'm amazed that he has the gumption to show his mug after <url>. And do you have the balls (metaphorically or otherwise) to place a hatnote above his article linking to that term?",impolite
I don't think we know each other. Is there any matter you need help with?,polite
<url> is basically ready for FAC pending some copy edits. Could you take a look to see if anything additional needs to be done?,neutral
"Oh I know, but I think that's a ''problem''. Unless there is some other cat for modem companies?",neutral
"I've nominated a biology-type article, <url>, at <url>. Would you be interested in reviewing it?",polite
"Thanks. Are you Slashdot user Anothy by any chance, or someone else?",neutral
"The placement of the hyphen in ""Ekur-huleni"" seems odd: as far as I know ""rh"" is one sound in Tsonga. Maybe ""Eku-rhuleni""?",neutral
Hi. Do you have permission under <url> to use <url> on Wikipedia?,polite
"He's returned to the same trolling he was doing years ago. If he really wants to edit in good faith, why not insist he make some non-controversial edits for a while instead of immediately restarting a two year old edit war?",impolite
"Somewhat related, shouldn't <url>, be renamed to <url>? I realize that Baha'i forbids sectarianism, but this is what the article is about, no?",neutral
Well this seems odd to me. Don't you find it strange that otherwise authoritative sources like Emulex and IBM would be so full of mistakes?,neutral
I see that KarBot is editing User Talk Pages.  Is this deliberate?,impolite
"Well, now you've got me puzzled. If you think he's a sneaky vandal, why did you revert my reversion of his numerical change?",impolite
"He's doing it again, removing Lauren's ""bottom 2"" placing (<url>).  I just reverted him but maybe we need to file something at AN/I ?",impolite
Thank you! Could you protect the picture that's live too?,neutral
That's okay. Did you contest a state by-election in the recent past?,neutral
"I've come to state that I find it mildly amusing that you don't consider a press release for a journalism award from Columbia University to be a ""substantial story from a citable source"".  Isn't Columbia among the world's most prestigious journalism schools?",impolite
"that hotcat lockup, was like an edit conflict, so i tried a backup and re-enter.  thanks for the assistance, i'm using the old layout, so would the new view affect my hotcat category edits?",neutral
Hi! Do you know where the info comes about <url> concerning <url> and the other town?,neutral
"BTW, small step, huh, from Berkely to Soman's talk page. What's next--Cambridge?",impolite
"Yeah, but playtime is over.  Find some articles to edit, yes?",impolite
So far there are four editors on <url> who have called you on your edit-warring. Would you please stop?,impolite
